待翻译: 17922 条 (样本=0, 限制=0)
共 1793 批, 并发 6
进度 10/17922 | 输入 609 tok | 输出 322 tok | 费用 ¥0.0013 | 2s
进度 8800/17922 | 输入 1319086 tok | 输出 1004246 tok | 费用 ¥3.3276 | 986s
进度 8810/17922 | 输入 1321379 tok | 输出 1006059 tok | 费用 ¥3.3335 | 987s
进度 8820/17922 | 输入 1324184 tok | 输出 1008351 tok | 费用 ¥3.3409 | 987s
进度 8830/17922 | 输入 1326207 tok | 输出 1009896 tok | 费用 ¥3.3460 | 988s
进度 8840/17922 | 输入 1326936 tok | 输出 1010345 tok | 费用 ¥3.3476 | 989s
进度 8850/17922 | 输入 1327511 tok | 输出 1010642 tok | 费用 ¥3.3488 | 990s
进度 8860/17922 | 输入 1328651 tok | 输出 1011398 tok | 费用 ¥3.3514 | 991s
进度 8870/17922 | 输入 1330038 tok | 输出 1012395 tok | 费用 ¥3.3548 | 992s
进度 8880/17922 | 输入 1330672 tok | 输出 1012747 tok | 费用 ¥3.3562 | 992s
进度 8890/17922 | 输入 1332790 tok | 输出 1014357 tok | 费用 ¥3.3615 | 993s
进度 8900/17922 | 输入 1335504 tok | 输出 1016577 tok | 费用 ¥3.3687 | 993s
进度 8910/17922 | 输入 1337201 tok | 输出 1017863 tok | 费用 ¥3.3729 | 999s
进度 8920/17922 | 输入 1339617 tok | 输出 1019720 tok | 费用 ¥3.3791 | 1001s
进度 8930/17922 | 输入 1342066 tok | 输出 1021658 tok | 费用 ¥3.3854 | 1002s
进度 8940/17922 | 输入 1344481 tok | 输出 1023606 tok | 费用 ¥3.3917 | 1003s
进度 8950/17922 | 输入 1346530 tok | 输出 1025252 tok | 费用 ¥3.3970 | 1004s
进度 8960/17922 | 输入 1348178 tok | 输出 1026439 tok | 费用 ¥3.4011 | 1006s
进度 8970/17922 | 输入 1349725 tok | 输出 1027572 tok | 费用 ¥3.4049 | 1008s
进度 8980/17922 | 输入 1351764 tok | 输出 1029091 tok | 费用 ¥3.4099 | 1013s
进度 8990/17922 | 输入 1353387 tok | 输出 1030302 tok | 费用 ¥3.4140 | 1013s
进度 9000/17922 | 输入 1355935 tok | 输出 1032426 tok | 费用 ¥3.4208 | 1013s
进度 9010/17922 | 输入 1358252 tok | 输出 1034264 tok | 费用 ¥3.4268 | 1013s
进度 9020/17922 | 输入 1362892 tok | 输出 1038335 tok | 费用 ¥3.4396 | 1016s
进度 9030/17922 | 输入 1364907 tok | 输出 1039845 tok | 费用 ¥3.4446 | 1017s
进度 9040/17922 | 输入 1366301 tok | 输出 1040840 tok | 费用 ¥3.4480 | 1019s
进度 9050/17922 | 输入 1367742 tok | 输出 1041940 tok | 费用 ¥3.4516 | 1024s
进度 9060/17922 | 输入 1370518 tok | 输出 1044173 tok | 费用 ¥3.4589 | 1026s
进度 9070/17922 | 输入 1373075 tok | 输出 1046145 tok | 费用 ¥3.4654 | 1027s
进度 9080/17922 | 输入 1375085 tok | 输出 1047860 tok | 费用 ¥3.4708 | 1027s
进度 9090/17922 | 输入 1378458 tok | 输出 1050682 tok | 费用 ¥3.4798 | 1029s
进度 9100/17922 | 输入 1381989 tok | 输出 1053582 tok | 费用 ¥3.4892 | 1030s
进度 9110/17922 | 输入 1383531 tok | 输出 1054770 tok | 费用 ¥3.4931 | 1031s
进度 9120/17922 | 输入 1385673 tok | 输出 1056510 tok | 费用 ¥3.4987 | 1037s
进度 9130/17922 | 输入 1387961 tok | 输出 1058481 tok | 费用 ¥3.5049 | 1037s
进度 9140/17922 | 输入 1390024 tok | 输出 1060116 tok | 费用 ¥3.5103 | 1038s
进度 9150/17922 | 输入 1391803 tok | 输出 1061536 tok | 费用 ¥3.5149 | 1039s
进度 9160/17922 | 输入 1394784 tok | 输出 1063996 tok | 费用 ¥3.5228 | 1039s
进度 9170/17922 | 输入 1397005 tok | 输出 1065803 tok | 费用 ¥3.5286 | 1039s
进度 9180/17922 | 输入 1397681 tok | 输出 1066161 tok | 费用 ¥3.5300 | 1040s
进度 9190/17922 | 输入 1398410 tok | 输出 1066574 tok | 费用 ¥3.5316 | 1040s
进度 9200/17922 | 输入 1399191 tok | 输出 1067018 tok | 费用 ¥3.5332 | 1042s
进度 9210/17922 | 输入 1400594 tok | 输出 1068107 tok | 费用 ¥3.5368 | 1046s
进度 9220/17922 | 输入 1401869 tok | 输出 1069008 tok | 费用 ¥3.5399 | 1046s
进度 9230/17922 | 输入 1402946 tok | 输出 1069722 tok | 费用 ¥3.5424 | 1046s
进度 9240/17922 | 输入 1404617 tok | 输出 1071032 tok | 费用 ¥3.5467 | 1046s
进度 9250/17922 | 输入 1406163 tok | 输出 1072235 tok | 费用 ¥3.5506 | 1046s
进度 9260/17922 | 输入 1406791 tok | 输出 1072593 tok | 费用 ¥3.5520 | 1048s
进度 9270/17922 | 输入 1407782 tok | 输出 1073291 tok | 费用 ¥3.5544 | 1050s
进度 9280/17922 | 输入 1408610 tok | 输出 1073836 tok | 费用 ¥3.5563 | 1050s
进度 9290/17922 | 输入 1409609 tok | 输出 1074517 tok | 费用 ¥3.5586 | 1050s
进度 9300/17922 | 输入 1410403 tok | 输出 1074979 tok | 费用 ¥3.5604 | 1051s
进度 9310/17922 | 输入 1413412 tok | 输出 1077460 tok | 费用 ¥3.5683 | 1052s
进度 9320/17922 | 输入 1414459 tok | 输出 1078160 tok | 费用 ¥3.5708 | 1054s
进度 9330/17922 | 输入 1416443 tok | 输出 1079751 tok | 费用 ¥3.5759 | 1055s
进度 9340/17922 | 输入 1417692 tok | 输出 1080628 tok | 费用 ¥3.5789 | 1055s
进度 9350/17922 | 输入 1419067 tok | 输出 1081594 tok | 费用 ¥3.5823 | 1057s
进度 9360/17922 | 输入 1420598 tok | 输出 1082714 tok | 费用 ¥3.5860 | 1058s
进度 9370/17922 | 输入 1422337 tok | 输出 1084065 tok | 费用 ¥3.5905 | 1058s
进度 9380/17922 | 输入 1423381 tok | 输出 1084788 tok | 费用 ¥3.5930 | 1059s
进度 9390/17922 | 输入 1424619 tok | 输出 1085680 tok | 费用 ¥3.5960 | 1061s
进度 9400/17922 | 输入 1426586 tok | 输出 1087281 tok | 费用 ¥3.6011 | 1064s
进度 9410/17922 | 输入 1428979 tok | 输出 1089335 tok | 费用 ¥3.6076 | 1069s
进度 9420/17922 | 输入 1431259 tok | 输出 1091237 tok | 费用 ¥3.6137 | 1069s
进度 9430/17922 | 输入 1434182 tok | 输出 1093736 tok | 费用 ¥3.6217 | 1070s
进度 9440/17922 | 输入 1437291 tok | 输出 1096445 tok | 费用 ¥3.6302 | 1071s
进度 9450/17922 | 输入 1439874 tok | 输出 1098644 tok | 费用 ¥3.6372 | 1072s
进度 9460/17922 | 输入 1440819 tok | 输出 1099264 tok | 费用 ¥3.6393 | 1074s
进度 9470/17922 | 输入 1443398 tok | 输出 1101424 tok | 费用 ¥3.6462 | 1074s
进度 9480/17922 | 输入 1444226 tok | 输出 1101920 tok | 费用 ¥3.6481 | 1075s
进度 9490/17922 | 输入 1445500 tok | 输出 1102823 tok | 费用 ¥3.6511 | 1077s
进度 9500/17922 | 输入 1447735 tok | 输出 1104676 tok | 费用 ¥3.6571 | 1079s
进度 9510/17922 | 输入 1448882 tok | 输出 1105482 tok | 费用 ¥3.6598 | 1079s
进度 9520/17922 | 输入 1450103 tok | 输出 1106380 tok | 费用 ¥3.6629 | 1082s
进度 9530/17922 | 输入 1452021 tok | 输出 1107856 tok | 费用 ¥3.6677 | 1082s
进度 9540/17922 | 输入 1455523 tok | 输出 1110975 tok | 费用 ¥3.6775 | 1083s
进度 9550/17922 | 输入 1456468 tok | 输出 1111600 tok | 费用 ¥3.6797 | 1083s
进度 9560/17922 | 输入 1458005 tok | 输出 1112790 tok | 费用 ¥3.6836 | 1085s
进度 9570/17922 | 输入 1460587 tok | 输出 1114894 tok | 费用 ¥3.6904 | 1086s
进度 9580/17922 | 输入 1461609 tok | 输出 1115576 tok | 费用 ¥3.6928 | 1088s
进度 9590/17922 | 输入 1462803 tok | 输出 1116421 tok | 费用 ¥3.6956 | 1088s
进度 9600/17922 | 输入 1464570 tok | 输出 1117766 tok | 费用 ¥3.7001 | 1089s
进度 9610/17922 | 输入 1466471 tok | 输出 1119215 tok | 费用 ¥3.7049 | 1091s
进度 9620/17922 | 输入 1467796 tok | 输出 1120140 tok | 费用 ¥3.7081 | 1092s
进度 9630/17922 | 输入 1468986 tok | 输出 1120939 tok | 费用 ¥3.7109 | 1094s
进度 9640/17922 | 输入 1471243 tok | 输出 1122703 tok | 费用 ¥3.7166 | 1095s
进度 9650/17922 | 输入 1472956 tok | 输出 1123936 tok | 费用 ¥3.7208 | 1096s
进度 9660/17922 | 输入 1474799 tok | 输出 1125343 tok | 费用 ¥3.7255 | 1096s
进度 9670/17922 | 输入 1476930 tok | 输出 1126986 tok | 费用 ¥3.7309 | 1100s
进度 9680/17922 | 输入 1478632 tok | 输出 1128237 tok | 费用 ¥3.7351 | 1102s
进度 9690/17922 | 输入 1480052 tok | 输出 1129266 tok | 费用 ¥3.7386 | 1102s
进度 9700/17922 | 输入 1482487 tok | 输出 1131169 tok | 费用 ¥3.7448 | 1103s
进度 9710/17922 | 输入 1484437 tok | 输出 1132771 tok | 费用 ¥3.7500 | 1104s
进度 9720/17922 | 输入 1486957 tok | 输出 1134767 tok | 费用 ¥3.7565 | 1105s
进度 9730/17922 | 输入 1487865 tok | 输出 1135335 tok | 费用 ¥3.7585 | 1106s
进度 9740/17922 | 输入 1488750 tok | 输出 1135903 tok | 费用 ¥3.7606 | 1109s
进度 9750/17922 | 输入 1490848 tok | 输出 1137520 tok | 费用 ¥3.7659 | 1109s
进度 9760/17922 | 输入 1492530 tok | 输出 1138778 tok | 费用 ¥3.7701 | 1110s
进度 9770/17922 | 输入 1494894 tok | 输出 1140637 tok | 费用 ¥3.7762 | 1112s
进度 9780/17922 | 输入 1496009 tok | 输出 1141369 tok | 费用 ¥3.7787 | 1114s
进度 9790/17922 | 输入 1497159 tok | 输出 1142139 tok | 费用 ¥3.7814 | 1114s
进度 9800/17922 | 输入 1498271 tok | 输出 1142915 tok | 费用 ¥3.7841 | 1115s
进度 9810/17922 | 输入 1500682 tok | 输出 1144836 tok | 费用 ¥3.7904 | 1115s
进度 9820/17922 | 输入 1501857 tok | 输出 1145623 tok | 费用 ¥3.7931 | 1118s
进度 9830/17922 | 输入 1503024 tok | 输出 1146444 tok | 费用 ¥3.7959 | 1119s
进度 9840/17922 | 输入 1506023 tok | 输出 1148944 tok | 费用 ¥3.8039 | 1119s
进度 9850/17922 | 输入 1507596 tok | 输出 1150111 tok | 费用 ¥3.8078 | 1119s
进度 9860/17922 | 输入 1509061 tok | 输出 1151172 tok | 费用 ¥3.8114 | 1122s
进度 9870/17922 | 输入 1510423 tok | 输出 1152180 tok | 费用 ¥3.8148 | 1125s
进度 9880/17922 | 输入 1512147 tok | 输出 1153465 tok | 费用 ¥3.8191 | 1126s
进度 9890/17922 | 输入 1514848 tok | 输出 1155609 tok | 费用 ¥3.8261 | 1127s
进度 9900/17922 | 输入 1516348 tok | 输出 1156698 tok | 费用 ¥3.8297 | 1128s
进度 9910/17922 | 输入 1518513 tok | 输出 1158394 tok | 费用 ¥3.8353 | 1129s
进度 9920/17922 | 输入 1519476 tok | 输出 1159044 tok | 费用 ¥3.8376 | 1129s
进度 9930/17922 | 输入 1520380 tok | 输出 1159593 tok | 费用 ¥3.8396 | 1130s
进度 9940/17922 | 输入 1523382 tok | 输出 1162020 tok | 费用 ¥3.8474 | 1132s
进度 9950/17922 | 输入 1525248 tok | 输出 1163526 tok | 费用 ¥3.8523 | 1137s
进度 9960/17922 | 输入 1526712 tok | 输出 1164671 tok | 费用 ¥3.8561 | 1139s
进度 9970/17922 | 输入 1528654 tok | 输出 1166240 tok | 费用 ¥3.8611 | 1139s
进度 9980/17922 | 输入 1530815 tok | 输出 1167995 tok | 费用 ¥3.8668 | 1139s
进度 9990/17922 | 输入 1533531 tok | 输出 1170225 tok | 费用 ¥3.8740 | 1140s
进度 10000/17922 | 输入 1536381 tok | 输出 1172597 tok | 费用 ¥3.8816 | 1142s
进度 10010/17922 | 输入 1538094 tok | 输出 1173991 tok | 费用 ¥3.8861 | 1144s
进度 10020/17922 | 输入 1539416 tok | 输出 1174989 tok | 费用 ¥3.8894 | 1145s
进度 10030/17922 | 输入 1540880 tok | 输出 1176134 tok | 费用 ¥3.8931 | 1145s
进度 10040/17922 | 输入 1542593 tok | 输出 1177484 tok | 费用 ¥3.8976 | 1146s
进度 10050/17922 | 输入 1544366 tok | 输出 1178905 tok | 费用 ¥3.9022 | 1150s
进度 10060/17922 | 输入 1545740 tok | 输出 1179955 tok | 费用 ¥3.9057 | 1152s
进度 10070/17922 | 输入 1547175 tok | 输出 1181067 tok | 费用 ¥3.9093 | 1152s
进度 10080/17922 | 输入 1549713 tok | 输出 1183246 tok | 费用 ¥3.9162 | 1152s
进度 10090/17922 | 输入 1551113 tok | 输出 1184337 tok | 费用 ¥3.9198 | 1153s
进度 10100/17922 | 输入 1553651 tok | 输出 1186521 tok | 费用 ¥3.9267 | 1156s
进度 10110/17922 | 输入 1555333 tok | 输出 1187843 tok | 费用 ¥3.9310 | 1158s
进度 10120/17922 | 输入 1556888 tok | 输出 1188993 tok | 费用 ¥3.9349 | 1159s
进度 10130/17922 | 输入 1558626 tok | 输出 1190292 tok | 费用 ¥3.9392 | 1160s
进度 10140/17922 | 输入 1560523 tok | 输出 1191833 tok | 费用 ¥3.9442 | 1161s
进度 10150/17922 | 输入 1562279 tok | 输出 1193241 tok | 费用 ¥3.9488 | 1161s
进度 10160/17922 | 输入 1562903 tok | 输出 1193561 tok | 费用 ¥3.9500 | 1162s
进度 10170/17922 | 输入 1563787 tok | 输出 1194153 tok | 费用 ¥3.9521 | 1162s
进度 10180/17922 | 输入 1565573 tok | 输出 1195569 tok | 费用 ¥3.9567 | 1164s
进度 10190/17922 | 输入 1566450 tok | 输出 1196154 tok | 费用 ¥3.9588 | 1165s
进度 10200/17922 | 输入 1567572 tok | 输出 1196946 tok | 费用 ¥3.9615 | 1166s
进度 10210/17922 | 输入 1569012 tok | 输出 1198047 tok | 费用 ¥3.9651 | 1168s
进度 10220/17922 | 输入 1570542 tok | 输出 1199271 tok | 费用 ¥3.9691 | 1168s
进度 10230/17922 | 输入 1571842 tok | 输出 1200249 tok | 费用 ¥3.9723 | 1168s
进度 10240/17922 | 输入 1572681 tok | 输出 1200789 tok | 费用 ¥3.9743 | 1169s
进度 10250/17922 | 输入 1574179 tok | 输出 1201926 tok | 费用 ¥3.9780 | 1172s
进度 10260/17922 | 输入 1576020 tok | 输出 1203391 tok | 费用 ¥3.9828 | 1172s
进度 10270/17922 | 输入 1577199 tok | 输出 1204239 tok | 费用 ¥3.9857 | 1173s
进度 10280/17922 | 输入 1578405 tok | 输出 1205104 tok | 费用 ¥3.9886 | 1173s
进度 10290/17922 | 输入 1579610 tok | 输出 1205955 tok | 费用 ¥3.9915 | 1173s
进度 10300/17922 | 输入 1580794 tok | 输出 1206801 tok | 费用 ¥3.9944 | 1174s
进度 10310/17922 | 输入 1581990 tok | 输出 1207686 tok | 费用 ¥3.9974 | 1177s
进度 10320/17922 | 输入 1583430 tok | 输出 1208793 tok | 费用 ¥4.0010 | 1179s
进度 10330/17922 | 输入 1585440 tok | 输出 1210421 tok | 费用 ¥4.0063 | 1183s
进度 10340/17922 | 输入 1587657 tok | 输出 1212259 tok | 费用 ¥4.0122 | 1184s
进度 10350/17922 | 输入 1590306 tok | 输出 1214395 tok | 费用 ¥4.0191 | 1185s
进度 10360/17922 | 输入 1592596 tok | 输出 1216326 tok | 费用 ¥4.0252 | 1185s
进度 10370/17922 | 输入 1593781 tok | 输出 1217215 tok | 费用 ¥4.0282 | 1191s
进度 10380/17922 | 输入 1596777 tok | 输出 1219750 tok | 费用 ¥4.0363 | 1191s
进度 10390/17922 | 输入 1599516 tok | 输出 1222031 tok | 费用 ¥4.0436 | 1192s
进度 10400/17922 | 输入 1600531 tok | 输出 1222729 tok | 费用 ¥4.0460 | 1196s
进度 10410/17922 | 输入 1601744 tok | 输出 1223679 tok | 费用 ¥4.0491 | 1196s
进度 10420/17922 | 输入 1604462 tok | 输出 1225967 tok | 费用 ¥4.0564 | 1196s
进度 10430/17922 | 输入 1606871 tok | 输出 1227971 tok | 费用 ¥4.0628 | 1197s
进度 10440/17922 | 输入 1610205 tok | 输出 1230845 tok | 费用 ¥4.0719 | 1197s
进度 10450/17922 | 输入 1611546 tok | 输出 1231829 tok | 费用 ¥4.0752 | 1198s
进度 10460/17922 | 输入 1612913 tok | 输出 1232850 tok | 费用 ¥4.0786 | 1202s
进度 10470/17922 | 输入 1614249 tok | 输出 1233804 tok | 费用 ¥4.0819 | 1202s
进度 10480/17922 | 输入 1615588 tok | 输出 1234799 tok | 费用 ¥4.0852 | 1204s
进度 10490/17922 | 输入 1617285 tok | 输出 1236094 tok | 费用 ¥4.0895 | 1204s
进度 10500/17922 | 输入 1619156 tok | 输出 1237611 tok | 费用 ¥4.0944 | 1204s
进度 10510/17922 | 输入 1621105 tok | 输出 1239251 tok | 费用 ¥4.0996 | 1210s
进度 10520/17922 | 输入 1623978 tok | 输出 1241711 tok | 费用 ¥4.1074 | 1210s
进度 10530/17922 | 输入 1625791 tok | 输出 1243165 tok | 费用 ¥4.1121 | 1213s
进度 10540/17922 | 输入 1627939 tok | 输出 1244939 tok | 费用 ¥4.1178 | 1214s
进度 10550/17922 | 输入 1628887 tok | 输出 1245544 tok | 费用 ¥4.1200 | 1214s
进度 10560/17922 | 输入 1631367 tok | 输出 1247671 tok | 费用 ¥4.1267 | 1215s
进度 10570/17922 | 输入 1634263 tok | 输出 1250273 tok | 费用 ¥4.1348 | 1216s
进度 10580/17922 | 输入 1635532 tok | 输出 1251215 tok | 费用 ¥4.1380 | 1216s
进度 10590/17922 | 输入 1636619 tok | 输出 1251950 tok | 费用 ¥4.1405 | 1218s
进度 10600/17922 | 输入 1637468 tok | 输出 1252500 tok | 费用 ¥4.1425 | 1218s
进度 10610/17922 | 输入 1638378 tok | 输出 1253108 tok | 费用 ¥4.1446 | 1218s
进度 10620/17922 | 输入 1639208 tok | 输出 1253620 tok | 费用 ¥4.1464 | 1219s
进度 10630/17922 | 输入 1640317 tok | 输出 1254400 tok | 费用 ¥4.1491 | 1222s
进度 10640/17922 | 输入 1641876 tok | 输出 1255594 tok | 费用 ¥4.1531 | 1223s
进度 10650/17922 | 输入 1643451 tok | 输出 1256837 tok | 费用 ¥4.1571 | 1225s
进度 10660/17922 | 输入 1644801 tok | 输出 1257858 tok | 费用 ¥4.1605 | 1225s
进度 10670/17922 | 输入 1646432 tok | 输出 1259164 tok | 费用 ¥4.1648 | 1227s
进度 10680/17922 | 输入 1647356 tok | 输出 1259767 tok | 费用 ¥4.1669 | 1228s
进度 10690/17922 | 输入 1648561 tok | 输出 1260609 tok | 费用 ¥4.1698 | 1228s
进度 10700/17922 | 输入 1651145 tok | 输出 1262808 tok | 费用 ¥4.1768 | 1228s
进度 10710/17922 | 输入 1652300 tok | 输出 1263647 tok | 费用 ¥4.1796 | 1229s
进度 10720/17922 | 输入 1653487 tok | 输出 1264508 tok | 费用 ¥4.1825 | 1230s
进度 10730/17922 | 输入 1654302 tok | 输出 1265019 tok | 费用 ¥4.1843 | 1231s
进度 10740/17922 | 输入 1655726 tok | 输出 1266013 tok | 费用 ¥4.1878 | 1233s
  批次失败(第1次, 深度0): Expecting ',' delimiter: line 1 column 1968 (char 1967); 1s 后重试
进度 10750/17922 | 输入 1657051 tok | 输出 1266993 tok | 费用 ¥4.1910 | 1234s
进度 10760/17922 | 输入 1658456 tok | 输出 1268033 tok | 费用 ¥4.1945 | 1236s
进度 10770/17922 | 输入 1659460 tok | 输出 1268750 tok | 费用 ¥4.1970 | 1238s
进度 10780/17922 | 输入 1660333 tok | 输出 1269324 tok | 费用 ¥4.1990 | 1239s
进度 10790/17922 | 输入 1662352 tok | 输出 1271030 tok | 费用 ¥4.2044 | 1240s
进度 10800/17922 | 输入 1663595 tok | 输出 1271879 tok | 费用 ¥4.2074 | 1240s
进度 10810/17922 | 输入 1665594 tok | 输出 1273473 tok | 费用 ¥4.2125 | 1241s
进度 10820/17922 | 输入 1667317 tok | 输出 1274838 tok | 费用 ¥4.2170 | 1241s
进度 10830/17922 | 输入 1668279 tok | 输出 1275506 tok | 费用 ¥4.2193 | 1242s
进度 10840/17922 | 输入 1669103 tok | 输出 1276028 tok | 费用 ¥4.2212 | 1243s
进度 10850/17922 | 输入 1669964 tok | 输出 1276590 tok | 费用 ¥4.2231 | 1243s
进度 10860/17922 | 输入 1670654 tok | 输出 1276991 tok | 费用 ¥4.2246 | 1243s
进度 10870/17922 | 输入 1671843 tok | 输出 1277858 tok | 费用 ¥4.2276 | 1244s
进度 10880/17922 | 输入 1672650 tok | 输出 1278379 tok | 费用 ¥4.2294 | 1245s
进度 10890/17922 | 输入 1673602 tok | 输出 1279011 tok | 费用 ¥4.2316 | 1245s
进度 10900/17922 | 输入 1674531 tok | 输出 1279647 tok | 费用 ¥4.2338 | 1247s
进度 10910/17922 | 输入 1675596 tok | 输出 1280399 tok | 费用 ¥4.2364 | 1247s
进度 10920/17922 | 输入 1676627 tok | 输出 1281122 tok | 费用 ¥4.2389 | 1248s
进度 10930/17922 | 输入 1677667 tok | 输出 1281887 tok | 费用 ¥4.2414 | 1249s
进度 10940/17922 | 输入 1678637 tok | 输出 1282570 tok | 费用 ¥4.2438 | 1249s
进度 10950/17922 | 输入 1679643 tok | 输出 1283267 tok | 费用 ¥4.2462 | 1249s
进度 10960/17922 | 输入 1680356 tok | 输出 1283669 tok | 费用 ¥4.2477 | 1250s
进度 10970/17922 | 输入 1680878 tok | 输出 1283906 tok | 费用 ¥4.2487 | 1250s
进度 10980/17922 | 输入 1681658 tok | 输出 1284370 tok | 费用 ¥4.2504 | 1251s
进度 10990/17922 | 输入 1682673 tok | 输出 1285065 tok | 费用 ¥4.2528 | 1251s
进度 11000/17922 | 输入 1683615 tok | 输出 1285702 tok | 费用 ¥4.2550 | 1253s
进度 11010/17922 | 输入 1684431 tok | 输出 1286203 tok | 费用 ¥4.2568 | 1253s
进度 11020/17922 | 输入 1685583 tok | 输出 1287036 tok | 费用 ¥4.2597 | 1254s
进度 11030/17922 | 输入 1686735 tok | 输出 1287851 tok | 费用 ¥4.2624 | 1255s
进度 11040/17922 | 输入 1687800 tok | 输出 1288585 tok | 费用 ¥4.2650 | 1255s
进度 11050/17922 | 输入 1689038 tok | 输出 1289416 tok | 费用 ¥4.2679 | 1256s
进度 11060/17922 | 输入 1689851 tok | 输出 1289930 tok | 费用 ¥4.2697 | 1258s
进度 11070/17922 | 输入 1690970 tok | 输出 1290725 tok | 费用 ¥4.2724 | 1259s
进度 11080/17922 | 输入 1692031 tok | 输出 1291468 tok | 费用 ¥4.2750 | 1259s
进度 11090/17922 | 输入 1692853 tok | 输出 1291978 tok | 费用 ¥4.2768 | 1259s
进度 11100/17922 | 输入 1694508 tok | 输出 1293236 tok | 费用 ¥4.2810 | 1260s
进度 11110/17922 | 输入 1696523 tok | 输出 1294812 tok | 费用 ¥4.2861 | 1263s
进度 11120/17922 | 输入 1697394 tok | 输出 1295378 tok | 费用 ¥4.2881 | 1263s
进度 11130/17922 | 输入 1698429 tok | 输出 1296102 tok | 费用 ¥4.2906 | 1264s
进度 11140/17922 | 输入 1699797 tok | 输出 1297134 tok | 费用 ¥4.2941 | 1265s
进度 11150/17922 | 输入 1700904 tok | 输出 1297886 tok | 费用 ¥4.2967 | 1267s
进度 11160/17922 | 输入 1702086 tok | 输出 1298736 tok | 费用 ¥4.2996 | 1268s
进度 11170/17922 | 输入 1704088 tok | 输出 1300353 tok | 费用 ¥4.3048 | 1270s
进度 11180/17922 | 输入 1706526 tok | 输出 1302380 tok | 费用 ¥4.3113 | 1271s
进度 11190/17922 | 输入 1707342 tok | 输出 1302874 tok | 费用 ¥4.3131 | 1271s
进度 11200/17922 | 输入 1708962 tok | 输出 1304060 tok | 费用 ¥4.3171 | 1273s
进度 11210/17922 | 输入 1710760 tok | 输出 1305466 tok | 费用 ¥4.3217 | 1276s
进度 11220/17922 | 输入 1712324 tok | 输出 1306658 tok | 费用 ¥4.3256 | 1277s
进度 11230/17922 | 输入 1714452 tok | 输出 1308373 tok | 费用 ¥4.3312 | 1280s
进度 11240/17922 | 输入 1716012 tok | 输出 1309540 tok | 费用 ¥4.3351 | 1280s
进度 11250/17922 | 输入 1718615 tok | 输出 1311686 tok | 费用 ¥4.3420 | 1281s
进度 11260/17922 | 输入 1719736 tok | 输出 1312472 tok | 费用 ¥4.3447 | 1282s
进度 11270/17922 | 输入 1720799 tok | 输出 1313193 tok | 费用 ¥4.3472 | 1284s
进度 11280/17922 | 输入 1721702 tok | 输出 1313784 tok | 费用 ¥4.3493 | 1285s
进度 11290/17922 | 输入 1722982 tok | 输出 1314716 tok | 费用 ¥4.3524 | 1285s
进度 11300/17922 | 输入 1723962 tok | 输出 1315370 tok | 费用 ¥4.3547 | 1286s
进度 11310/17922 | 输入 1726055 tok | 输出 1317018 tok | 费用 ¥4.3601 | 1286s
进度 11320/17922 | 输入 1726681 tok | 输出 1317334 tok | 费用 ¥4.3613 | 1288s
进度 11330/17922 | 输入 1727487 tok | 输出 1317827 tok | 费用 ¥4.3631 | 1289s
进度 11340/17922 | 输入 1728724 tok | 输出 1318685 tok | 费用 ¥4.3661 | 1290s
进度 11350/17922 | 输入 1729465 tok | 输出 1319120 tok | 费用 ¥4.3677 | 1291s
进度 11360/17922 | 输入 1730159 tok | 输出 1319513 tok | 费用 ¥4.3692 | 1291s
进度 11370/17922 | 输入 1730915 tok | 输出 1319969 tok | 费用 ¥4.3709 | 1293s
进度 11380/17922 | 输入 1731709 tok | 输出 1320445 tok | 费用 ¥4.3726 | 1294s
进度 11390/17922 | 输入 1733646 tok | 输出 1321947 tok | 费用 ¥4.3775 | 1294s
进度 11400/17922 | 输入 1740250 tok | 输出 1327682 tok | 费用 ¥4.3956 | 1295s
进度 11410/17922 | 输入 1742677 tok | 输出 1329693 tok | 费用 ¥4.4021 | 1296s
进度 11420/17922 | 输入 1743987 tok | 输出 1330624 tok | 费用 ¥4.4052 | 1296s
进度 11430/17922 | 输入 1745241 tok | 输出 1331529 tok | 费用 ¥4.4083 | 1298s
进度 11440/17922 | 输入 1746294 tok | 输出 1332268 tok | 费用 ¥4.4108 | 1299s
进度 11450/17922 | 输入 1747527 tok | 输出 1333187 tok | 费用 ¥4.4139 | 1300s
进度 11460/17922 | 输入 1748630 tok | 输出 1334037 tok | 费用 ¥4.4167 | 1301s
进度 11470/17922 | 输入 1749755 tok | 输出 1334837 tok | 费用 ¥4.4194 | 1301s
进度 11480/17922 | 输入 1751380 tok | 输出 1336108 tok | 费用 ¥4.4236 | 1302s
进度 11490/17922 | 输入 1752360 tok | 输出 1336837 tok | 费用 ¥4.4260 | 1303s
进度 11500/17922 | 输入 1753229 tok | 输出 1337400 tok | 费用 ¥4.4280 | 1303s
进度 11510/17922 | 输入 1754482 tok | 输出 1338357 tok | 费用 ¥4.4312 | 1304s
进度 11520/17922 | 输入 1755283 tok | 输出 1338872 tok | 费用 ¥4.4330 | 1305s
进度 11530/17922 | 输入 1756291 tok | 输出 1339606 tok | 费用 ¥4.4355 | 1305s
进度 11540/17922 | 输入 1757232 tok | 输出 1340258 tok | 费用 ¥4.4377 | 1306s
进度 11550/17922 | 输入 1758246 tok | 输出 1340915 tok | 费用 ¥4.4401 | 1307s
进度 11560/17922 | 输入 1758913 tok | 输出 1341286 tok | 费用 ¥4.4415 | 1307s
